"Title","Album","Year","Popularity","Duration","Key","Mode","Tempo","Time_signature","Valence","Danceability","Energy","Loudness","Acousticness","Instrumentalness","Liveness","Speechiness","Songwriter.s.","Lead.vocal.s.","Genre","Styles","Period","titulo_tratado"
"A Day in the Life","Sgt. Pepper's Lonely Hearts Club Band",1967,65,335,4,0,163.219,4,0.175,0.364,0.457,-14.162,0.29,0.000106,0.922,0.0675,"Lennon / McCartney","Lennon and McCartney","Psychedelic Rock, Art Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Prog-Rock, Psychedelic/Garage","middle","a day in the life"
"A Hard Day's Night","A Hard Day's Night",1964,71,152,0,1,138.514,4,0.797,0.59,0.805,-6.481,0.137,0,0.0996,0.0371,"Lennon","Lennon, with McCartney","Rock, Electronic, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll, Adult Contemporary, Alternative/Indie Rock, Britpop, Club/Dance","early","a hard days night"
"A Taste of Honey","Please Please Me",1963,51,163,1,0,101.408,3,0.412,0.42,0.372,-11.416,0.698,0,0.104,0.0327,"Scott / Marlow","McCartney","Pop/Rock, Jazz, Stage&Screen","British Invasion, Early Pop/Rock, Merseybeat, Contemporary Pop/Rock, Cast Recordings, Show Tunes","early","a taste of honey"
"Across the Universe","Let It Be",1968,69,230,1,1,152.126,4,0.858,0.257,0.412,-11.788,0.361,8.68e-05,0.0702,0.0287,"Lennon","Lennon","Psychedelic folk, Pop/Rock","Album Rock, British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Singer/Songwriter","late","across the universe"
"Act Naturally","Help!",1965,52,139,7,1,93.02,4,0.944,0.702,0.447,-10.122,0.366,0,0.153,0.0308,"Russell / Morrison","Starkey","Country, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Country-Rock, Bakersfield Sound","early","act naturally"
"All I've Got to Do","With The Beatles",1963,55,124,1,0,119.403,4,0.879,0.49,0.579,-10.301,0.217,0,0.0644,0.0344,"Lennon","Lennon","Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll","early","all ive got to do"
"All My Loving","With The Beatles",1963,73,124,1,0,77.56,4,0.9,0.416,0.563,-8.724,0.207,0,0.343,0.0298,"McCartney","McCartney","Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll","early","all my loving"
"All Together Now","Yellow Submarine",1967,45,130,2,1,95.937,4,0.778,0.587,0.431,-9.495,0.0722,0,0.561,0.0686,"Lennon / McCartney","McCartney, with Lennon","Skiffle, Pop/Rock","Contemporary Pop/Rock, British Psychedelia, Psychedelic/Garage","late","all together now"
"All You Need Is Love","Magical Mystery Tour",1967,68,237,7,1,103.436,4,0.653,0.4,0.48,-7.768,0.346,3.1e-05,0.155,0.0295,"Lennon","Lennon","Pop/Rock","Contemporary Pop/Rock, British Psychedelia, Psychedelic/Garage","middle","all you need is love"
"And I Love Her","A Hard Day's Night",1964,74,152,1,0,113.312,4,0.636,0.767,0.331,-10.777,0.64,0,0.0681,0.0337,"Lennon / McCartney","McCartney","Pop/Rock","British Invasion. Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Adult Contemporary, Alternative/Indie Rock, Britpop","early","and i love her"
"And Your Bird Can Sing","Revolver",1966,58,121,4,1,132.59,4,0.966,0.555,0.65,-6.936,0.0067,0.0491,0.236,0.0282,"Lennon / McCartney","Lennon","Power Pop, Psychedelic Pop, Pop/Rock","British Invasion, British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Rock & Roll","middle","and your bird can sing"
"Anna (Go to Him)","Please Please Me",1963,58,168,2,1,109.286,4,0.835,0.608,0.565,-11.06,0.635,0,0.0601,0.0336,"Alexander","Lennon","Soul, Pop/Rock","British Invasion, Early Pop/Rock, Merseybeat, Contemporary Pop/Rock, Rock & Roll","early","anna go to him"
"Another Girl","Help!",1965,52,124,9,1,88.657,4,0.822,0.516,0.638,-7.453,0.238,0,0.333,0.0314,"McCartney","McCartney","Country Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll","early","another girl"
"Any Time at All","A Hard Day's Night",1964,52,133,2,1,141.016,4,0.744,0.612,0.719,-7.026,0.366,3.88e-06,0.437,0.0398,"Lennon / McCartney","Lennon, with McCartney","Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll, Adult Contemporary, Alternative/Indie Rock, Britpop","early","any time at all"
"Ask Me Why","Please Please Me",1962,52,144,4,1,133.942,4,0.597,0.605,0.394,-11.33,0.767,0,0.0967,0.0378,"Lennon / McCartney","Lennon","Pop/Rock","British Invasion, Early Pop/Rock, Merseybeat, Contemporary Pop/Rock, Rock & Roll","early","ask me why"
"Baby It's You","Please Please Me",1963,56,162,4,0,112.421,4,0.879,0.608,0.494,-12.211,0.778,0,0.0926,0.0345,"Bacharach / David / Dixon","Lennon","Pop/Rock","British Invasion, Early Pop/Rock, Merseybeat, Contemporary Pop/Rock, Rock & Roll","early","baby its you"
"Baby's in Black","Beatles For Sale",1964,48,122,9,1,202.97,3,0.876,0.374,0.596,-7.666,0.434,0,0.098,0.0416,"Lennon / McCartney","Lennon and McCartney","Folk Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Country-Rock","early","babys in black"
"Baby, You're a Rich Man","Magical Mystery Tour",1967,55,183,7,1,96.751,4,0.467,0.619,0.625,-9.635,0.0119,1.05e-06,0.152,0.036,"Lennon / McCartney","Lennon","Psychedelic Pop, Psychedelic Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage","middle","baby youre a rich man"
"Back in the U.S.S.R.","The Beatles",1968,65,163,9,1,142.489,4,0.494,0.48,0.969,-7.464,0.069,0.00022,0.0608,0.0854,"McCartney","McCartney","Rock and Roll, Hard Rock, Pop/Rock","Contemporary Pop/Rock, Hard Rock, Rock & Roll, Early Pop/Rock, Album Rock","late","back in the ussr"
"Because","Abbey Road",1969,60,165,2,1,81.257,4,0.162,0.328,0.249,-11.777,0.754,5.77e-06,0.134,0.0272,"Lennon","Lennon, McCartney, Harrison","Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Prog-Rock, British Psychedelia, Psychedelic/Garage, Album Rock","late","because"
"Being for the Benefit of Mr. Kite!","Sgt. Pepper's Lonely Hearts Club Band",1967,54,157,0,1,111.874,4,0.71,0.526,0.413,-9.865,0.338,0,0.0992,0.0446,"Lennon / McCartney","Lennon","Experimental Rock, Psychedelic Rock, Circus, Pop/Rock","British Psychedelia, Psychedelic/Garage, Contemporary Pop/Rock, Early Pop/Rock","middle","being for the benefit of mr kite"
"Birthday","The Beatles",1968,57,162,2,1,139.239,4,0.91,0.541,0.727,-7.509,7.37e-05,0.717,0.232,0.0384,"Lennon / McCartney","McCartney, with Lennon","Hard Rock, Rock and Roll, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Hard Rock, Rock & Roll, Album Rock","late","birthday"
"Blackbird","The Beatles",1968,79,139,7,1,93.699,4,0.372,0.686,0.127,-14.361,0.754,1.41e-05,0.0573,0.0342,"McCartney","McCartney","Folk, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Folk-Rock, Psychedelic/Garage, Singer/Songwriter","late","blackbird"
"Blue Jay Way","Magical Mystery Tour",1967,53,235,0,1,101.052,4,0.0378,0.294,0.407,-11.575,0.0258,0.000219,0.0852,0.0308,"Harrison","Harrison","Psychedelic Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage","middle","blue jay way"
"Boys","Please Please Me",1963,51,144,4,1,142.445,4,0.822,0.402,0.86,-10.31,0.607,0,0.736,0.0504,"Dixon / Farrell","Starkey (Best)","Rock and Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll","early","boys"
"Can't Buy Me Love","A Hard Day's Night",1964,70,131,0,1,170.72,4,0.842,0.483,0.677,-5.91,0.283,0,0.321,0.0593,"McCartney","McCartney, with Lennon","Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll, Adult Contemporary, Alternative/Indie Rock, Britpop","early","cant buy me love"
"Carry That Weight","Abbey Road",1969,62,96,0,1,84.319,4,0.704,0.543,0.458,-8.976,0.226,0.00663,0.298,0.0274,"McCartney","McCartney, with Lennon, Harrison and Starkey","Symphonic Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Prog-Rock","late","carry that weight"
"Chains","Please Please Me",1963,50,143,10,1,129.884,4,0.929,0.654,0.561,-10.551,0.608,0,0.129,0.0304,"Goffin / King","Harrison, with Lennon and McCartney","Rock and Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll","early","chains"
